"meandeg","meanduration","nodes","act","transmission","recovery","infected","recovered","sims","proportion","peak.inf","shortprop","concurrency"
0.5,10,100,9.6,0.05,0.05,1,0,10,0.1,13,0,"0%"
0.5,20,100,9.6,0.05,0.05,1,0,10,0,4,0,"0%"
0.5,30,100,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
0.5,40,100,9.6,0.05,0.05,1,0,10,0,8,0,"0%"
0.5,50,100,9.6,0.05,0.05,1,0,10,0,4,0,"0%"
0.5,60,100,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.5,70,100,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
0.5,80,100,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.5,90,100,9.6,0.05,0.05,1,0,10,0,5,0,"0%"
0.5,100,100,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
0.6,10,100,9.6,0.05,0.05,1,0,10,0.1,18,0,"0%"
0.6,20,100,9.6,0.05,0.05,1,0,10,0,14,0,"0%"
0.6,30,100,9.6,0.05,0.05,1,0,10,0,9,0,"0%"
0.6,40,100,9.6,0.05,0.05,1,0,10,0,8,0,"0%"
0.6,50,100,9.6,0.05,0.05,1,0,10,0,11,0,"0%"
0.6,60,100,9.6,0.05,0.05,1,0,10,0,8,0,"0%"
0.6,70,100,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.6,80,100,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.6,90,100,9.6,0.05,0.05,1,0,10,0,8,0,"0%"
0.6,100,100,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
0.7,10,100,9.6,0.05,0.05,1,0,10,0.5,25,0.2,"0%"
0.7,20,100,9.6,0.05,0.05,1,0,10,0.1,20,0,"0%"
0.7,30,100,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
0.7,40,100,9.6,0.05,0.05,1,0,10,0,22,0.1,"0%"
0.7,50,100,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.7,60,100,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
0.7,70,100,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.7,80,100,9.6,0.05,0.05,1,0,10,0,9,0,"0%"
0.7,90,100,9.6,0.05,0.05,1,0,10,0,5,0,"0%"
0.7,100,100,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
0.8,10,100,9.6,0.05,0.05,1,0,10,0.4,23,0.3,"0%"
0.8,20,100,9.6,0.05,0.05,1,0,10,0.3,23,0.1,"0%"
0.8,30,100,9.6,0.05,0.05,1,0,10,0,12,0,"0%"
0.8,40,100,9.6,0.05,0.05,1,0,10,0,23,0.1,"0%"
0.8,50,100,9.6,0.05,0.05,1,0,10,0,19,0,"0%"
0.8,60,100,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
0.8,70,100,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
0.8,80,100,9.6,0.05,0.05,1,0,10,0,5,0,"0%"
0.8,90,100,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
0.8,100,100,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
0.9,10,100,9.6,0.05,0.05,1,0,10,0.5,37,0.5,"0%"
0.9,20,100,9.6,0.05,0.05,1,0,10,0.3,22,0.1,"0%"
0.9,30,100,9.6,0.05,0.05,1,0,10,0.1,31,0.1,"0%"
0.9,40,100,9.6,0.05,0.05,1,0,10,0,17,0,"0%"
0.9,50,100,9.6,0.05,0.05,1,0,10,0,19,0,"0%"
0.9,60,100,9.6,0.05,0.05,1,0,10,0,17,0,"0%"
0.9,70,100,9.6,0.05,0.05,1,0,10,0,12,0,"0%"
0.9,80,100,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
0.9,90,100,9.6,0.05,0.05,1,0,10,0,12,0,"0%"
0.9,100,100,9.6,0.05,0.05,1,0,10,0,18,0,"0%"
1,10,100,9.6,0.05,0.05,1,0,10,0.6,35,0.6,"0%"
1,20,100,9.6,0.05,0.05,1,0,10,0.4,27,0.4,"0%"
1,30,100,9.6,0.05,0.05,1,0,10,0,20,0,"0%"
1,40,100,9.6,0.05,0.05,1,0,10,0.1,23,0.1,"0%"
1,50,100,9.6,0.05,0.05,1,0,10,0,21,0.1,"0%"
1,60,100,9.6,0.05,0.05,1,0,10,0,14,0,"0%"
1,70,100,9.6,0.05,0.05,1,0,10,0.1,16,0,"0%"
1,80,100,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
1,90,100,9.6,0.05,0.05,1,0,10,0,16,0,"0%"
