meandeg,meanduration,nodes,act,transmission,recovery,infected,recovered,sims,proportion,peak.inf,shortprop,concurrency
1.1,10,1000,9.6,0.05,0.05,1,0,10,0.8,316,0.8,0%
1.1,20,1000,9.6,0.05,0.05,1,0,10,0.4,232,0.2,0%
1.1,30,1000,9.6,0.05,0.05,1,0,10,0.4,166,0,0%
1.1,40,1000,9.6,0.05,0.05,1,0,10,0.4,136,0,0%
1.1,50,1000,9.6,0.05,0.05,1,0,10,0,112,0,0%
1.2,10,1000,9.6,0.05,0.05,1,0,10,0.6,361,0.6,0%
1.2,20,1000,9.6,0.05,0.05,1,0,10,0.6,264,0.4,0%
1.2,30,1000,9.6,0.05,0.05,1,0,10,0.6,189,0,0%
1.2,40,1000,9.6,0.05,0.05,1,0,10,0.4,172,0,0%
1.2,50,1000,9.6,0.05,0.05,1,0,10,0.2,131,0,0%
1.3,10,1000,9.6,0.05,0.05,1,0,10,1,389,1,0%
1.3,20,1000,9.6,0.05,0.05,1,0,10,0.8,287,0.8,0%
1.3,30,1000,9.6,0.05,0.05,1,0,10,0.6,265,0.6,0%
1.3,40,1000,9.6,0.05,0.05,1,0,10,0.8,241,0.4,0%
1.3,50,1000,9.6,0.05,0.05,1,0,10,0.4,172,0,0%
1.4,10,1000,9.6,0.05,0.05,1,0,10,0.8,425,0.8,0%
1.4,20,1000,9.6,0.05,0.05,1,0,10,0.4,332,0.4,0%
1.4,30,1000,9.6,0.05,0.05,1,0,10,0.8,321,0.8,0%
1.4,40,1000,9.6,0.05,0.05,1,0,10,0.8,291,0.8,0%
1.4,50,1000,9.6,0.05,0.05,1,0,10,0.6,296,0.4,0%
1.5,10,1000,9.6,0.05,0.05,1,0,10,0.6,440,0.6,0%
1.5,20,1000,9.6,0.05,0.05,1,0,10,0.4,337,0.4,0%
1.5,30,1000,9.6,0.05,0.05,1,0,10,0.8,373,0.8,0%
1.5,40,1000,9.6,0.05,0.05,1,0,10,0.6,286,0.6,0%
1.5,50,1000,9.6,0.05,0.05,1,0,10,1,327,1,0%
