"meandeg","meanduration","nodes","act","transmission","recovery","infected","recovered","sims","proportion","peak.inf","shortprop","concurrency"
0.5,35,100,9.6,0.05,0.05,1,0,10,0,4,0,"0%"
0.6,35,100,9.6,0.05,0.05,1,0,10,0,10,0,"0%"
0.7,35,100,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
0.8,35,100,9.6,0.05,0.05,1,0,10,0,13,0,"0%"
0.9,35,100,9.6,0.05,0.05,1,0,10,0,13,0,"0%"
1,35,100,9.6,0.05,0.05,1,0,10,0.3,24,0.3,"0%"
1.1,35,100,9.6,0.05,0.05,1,0,10,0.4,34,0.5,"0%"
1.2,35,100,9.6,0.05,0.05,1,0,10,0.5,27,0.5,"0%"
1.3,35,100,9.6,0.05,0.05,1,0,10,0.4,37,0.3,"0%"
1.4,35,100,9.6,0.05,0.05,1,0,10,0.6,35,0.6,"0%"
1.5,35,100,9.6,0.05,0.05,1,0,10,0.4,32,0.3,"0%"
0.5,35,200,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
0.6,35,200,9.6,0.05,0.05,1,0,10,0,8,0,"0%"
0.7,35,200,9.6,0.05,0.05,1,0,10,0,16,0,"0%"
0.8,35,200,9.6,0.05,0.05,1,0,10,0,17,0,"0%"
0.9,35,200,9.6,0.05,0.05,1,0,10,0,31,0,"0%"
1,35,200,9.6,0.05,0.05,1,0,10,0.1,26,0,"0%"
1.1,35,200,9.6,0.05,0.05,1,0,10,0.3,48,0.3,"0%"
1.2,35,200,9.6,0.05,0.05,1,0,10,0.6,52,0.2,"0%"
1.3,35,200,9.6,0.05,0.05,1,0,10,0.3,64,0.3,"0%"
1.4,35,200,9.6,0.05,0.05,1,0,10,0.4,74,0.4,"0%"
1.5,35,200,9.6,0.05,0.05,1,0,10,0.7,86,0.7,"0%"
0.5,35,300,9.6,0.05,0.05,1,0,10,0,3,0,"0%"
0.6,35,300,9.6,0.05,0.05,1,0,10,0,3,0,"0%"
0.7,35,300,9.6,0.05,0.05,1,0,10,0,10,0,"0%"
0.8,35,300,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
0.9,35,300,9.6,0.05,0.05,1,0,10,0,32,0,"0%"
1,35,300,9.6,0.05,0.05,1,0,10,0.3,50,0,"0%"
1.1,35,300,9.6,0.05,0.05,1,0,10,0.3,52,0,"0%"
1.2,35,300,9.6,0.05,0.05,1,0,10,0.3,79,0.2,"0%"
1.3,35,300,9.6,0.05,0.05,1,0,10,0.7,84,0.6,"0%"
1.4,35,300,9.6,0.05,0.05,1,0,10,0.4,106,0.3,"0%"
1.5,35,300,9.6,0.05,0.05,1,0,10,0.9,114,0.9,"0%"
0.5,35,400,9.6,0.05,0.05,1,0,10,0,8,0,"0%"
0.6,35,400,9.6,0.05,0.05,1,0,10,0,12,0,"0%"
0.7,35,400,9.6,0.05,0.05,1,0,10,0,8,0,"0%"
0.8,35,400,9.6,0.05,0.05,1,0,10,0,31,0,"0%"
0.9,35,400,9.6,0.05,0.05,1,0,10,0,24,0,"0%"
1,35,400,9.6,0.05,0.05,1,0,10,0.1,51,0,"0%"
1.1,35,400,9.6,0.05,0.05,1,0,10,0.6,80,0,"0%"
1.2,35,400,9.6,0.05,0.05,1,0,10,0.3,82,0.1,"0%"
1.3,35,400,9.6,0.05,0.05,1,0,10,0.6,134,0.4,"0%"
1.4,35,400,9.6,0.05,0.05,1,0,10,0.5,109,0.3,"0%"
1.5,35,400,9.6,0.05,0.05,1,0,10,0.8,168,0.8,"0%"
0.5,35,500,9.6,0.05,0.05,1,0,10,0,2,0,"0%"
0.6,35,500,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.7,35,500,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.8,35,500,9.6,0.05,0.05,1,0,10,0,10,0,"0%"
0.9,35,500,9.6,0.05,0.05,1,0,10,0,67,0,"0%"
1,35,500,9.6,0.05,0.05,1,0,10,0,45,0,"0%"
1.1,35,500,9.6,0.05,0.05,1,0,10,0.4,106,0.1,"0%"
1.2,35,500,9.6,0.05,0.05,1,0,10,0.7,135,0.4,"0%"
1.3,35,500,9.6,0.05,0.05,1,0,10,0.6,127,0.3,"0%"
1.4,35,500,9.6,0.05,0.05,1,0,10,0.6,176,0.6,"0%"
1.5,35,500,9.6,0.05,0.05,1,0,10,0.5,175,0.5,"0%"
0.5,35,600,9.6,0.05,0.05,1,0,10,0,5,0,"0%"
0.6,35,600,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.7,35,600,9.6,0.05,0.05,1,0,10,0,10,0,"0%"
0.8,35,600,9.6,0.05,0.05,1,0,10,0,52,0,"0%"
0.9,35,600,9.6,0.05,0.05,1,0,10,0,53,0,"0%"
1,35,600,9.6,0.05,0.05,1,0,10,0,39,0,"0%"
1.1,35,600,9.6,0.05,0.05,1,0,10,0.5,98,0,"0%"
1.2,35,600,9.6,0.05,0.05,1,0,10,0.3,126,0.1,"0%"
1.3,35,600,9.6,0.05,0.05,1,0,10,0.5,149,0.3,"0%"
1.4,35,600,9.6,0.05,0.05,1,0,10,0.8,189,0.7,"0%"
1.5,35,600,9.6,0.05,0.05,1,0,10,0.9,236,0.8,"0%"
0.5,35,700,9.6,0.05,0.05,1,0,10,0,4,0,"0%"
0.6,35,700,9.6,0.05,0.05,1,0,10,0,3,0,"0%"
0.7,35,700,9.6,0.05,0.05,1,0,10,0,12,0,"0%"
0.8,35,700,9.6,0.05,0.05,1,0,10,0,23,0,"0%"
0.9,35,700,9.6,0.05,0.05,1,0,10,0,56,0,"0%"
1,35,700,9.6,0.05,0.05,1,0,10,0.2,113,0,"0%"
1.1,35,700,9.6,0.05,0.05,1,0,10,0.4,136,0,"0%"
1.2,35,700,9.6,0.05,0.05,1,0,10,0.4,160,0.3,"0%"
1.3,35,700,9.6,0.05,0.05,1,0,10,0.6,169,0.4,"0%"
1.4,35,700,9.6,0.05,0.05,1,0,10,0.7,195,0.6,"0%"
1.5,35,700,9.6,0.05,0.05,1,0,10,0.9,247,0.9,"0%"
0.5,35,800,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.6,35,800,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.7,35,800,9.6,0.05,0.05,1,0,10,0,22,0,"0%"
0.8,35,800,9.6,0.05,0.05,1,0,10,0,37,0,"0%"
0.9,35,800,9.6,0.05,0.05,1,0,10,0,80,0,"0%"
1,35,800,9.6,0.05,0.05,1,0,10,0,76,0,"0%"
1.1,35,800,9.6,0.05,0.05,1,0,10,0.4,112,0,"0%"
1.2,35,800,9.6,0.05,0.05,1,0,10,0.8,167,0.1,"0%"
1.3,35,800,9.6,0.05,0.05,1,0,10,0.7,220,0.6,"0%"
1.4,35,800,9.6,0.05,0.05,1,0,10,0.6,265,0.6,"0%"
1.5,35,800,9.6,0.05,0.05,1,0,10,0.7,251,0.7,"0%"
0.5,35,900,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
0.6,35,900,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
0.7,35,900,9.6,0.05,0.05,1,0,10,0,17,0,"0%"
0.8,35,900,9.6,0.05,0.05,1,0,10,0,34,0,"0%"
0.9,35,900,9.6,0.05,0.05,1,0,10,0,58,0,"0%"
1,35,900,9.6,0.05,0.05,1,0,10,0,95,0,"0%"
1.1,35,900,9.6,0.05,0.05,1,0,10,0.2,125,0,"0%"
1.2,35,900,9.6,0.05,0.05,1,0,10,0.5,212,0.1,"0%"
1.3,35,900,9.6,0.05,0.05,1,0,10,0.5,233,0.3,"0%"
1.4,35,900,9.6,0.05,0.05,1,0,10,0.6,276,0.6,"0%"
1.5,35,900,9.6,0.05,0.05,1,0,10,0.8,345,0.8,"0%"
0.5,35,1000,9.6,0.05,0.05,1,0,10,0,4,0,"0%"
0.6,35,1000,9.6,0.05,0.05,1,0,10,0,4,0,"0%"
0.7,35,1000,9.6,0.05,0.05,1,0,10,0,5,0,"0%"
0.8,35,1000,9.6,0.05,0.05,1,0,10,0,70,0,"0%"
0.9,35,1000,9.6,0.05,0.05,1,0,10,0,51,0,"0%"
1,35,1000,9.6,0.05,0.05,1,0,10,0,113,0,"0%"
1.1,35,1000,9.6,0.05,0.05,1,0,10,0.2,114,0,"0%"
1.2,35,1000,9.6,0.05,0.05,1,0,10,0.3,202,0.1,"0%"
1.3,35,1000,9.6,0.05,0.05,1,0,10,0.5,253,0.2,"0%"
1.4,35,1000,9.6,0.05,0.05,1,0,10,0.5,298,0.5,"0%"
1.5,35,1000,9.6,0.05,0.05,1,0,10,0.8,328,0.8,"0%"
