"meandeg","meanduration","nodes","act","transmission","recovery","infected","recovered","sims","proportion","peak.inf","shortprop","concurrency"
1,10,100,9.6,0.05,0.05,1,0,10,0.5,43,0.3,"0%"
1,20,100,9.6,0.05,0.05,1,0,10,0.4,35,0.2,"0%"
1,30,100,9.6,0.05,0.05,1,0,10,0.2,29,0.2,"0%"
1,40,100,9.6,0.05,0.05,1,0,10,0.3,23,0.1,"0%"
1,50,100,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
1,60,100,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
1,70,100,9.6,0.05,0.05,1,0,10,0,28,0.1,"0%"
1,80,100,9.6,0.05,0.05,1,0,10,0,19,0,"0%"
1,90,100,9.6,0.05,0.05,1,0,10,0.1,15,0,"0%"
1,100,100,9.6,0.05,0.05,1,0,10,0,10,0,"0%"
1,10,200,9.6,0.05,0.05,1,0,10,1,69,0.9,"0%"
1,20,200,9.6,0.05,0.05,1,0,10,0.5,64,0.2,"0%"
1,30,200,9.6,0.05,0.05,1,0,10,0.1,29,0,"0%"
1,40,200,9.6,0.05,0.05,1,0,10,0,16,0,"0%"
1,50,200,9.6,0.05,0.05,1,0,10,0,28,0,"0%"
1,60,200,9.6,0.05,0.05,1,0,10,0,24,0,"0%"
1,70,200,9.6,0.05,0.05,1,0,10,0.1,48,0.1,"0%"
1,80,200,9.6,0.05,0.05,1,0,10,0,20,0,"0%"
1,90,200,9.6,0.05,0.05,1,0,10,0,14,0,"0%"
1,100,200,9.6,0.05,0.05,1,0,10,0,15,0,"0%"
1,10,300,9.6,0.05,0.05,1,0,10,0.7,97,0.7,"0%"
1,20,300,9.6,0.05,0.05,1,0,10,0.7,84,0.4,"0%"
1,30,300,9.6,0.05,0.05,1,0,10,0,31,0,"0%"
1,40,300,9.6,0.05,0.05,1,0,10,0,25,0,"0%"
1,50,300,9.6,0.05,0.05,1,0,10,0.1,69,0.1,"0%"
1,60,300,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
1,70,300,9.6,0.05,0.05,1,0,10,0,47,0,"0%"
1,80,300,9.6,0.05,0.05,1,0,10,0,22,0,"0%"
1,90,300,9.6,0.05,0.05,1,0,10,0,12,0,"0%"
1,100,300,9.6,0.05,0.05,1,0,10,0,6,0,"0%"
1,10,400,9.6,0.05,0.05,1,0,10,0.6,125,0.6,"0%"
1,20,400,9.6,0.05,0.05,1,0,10,0.8,78,0,"0%"
1,30,400,9.6,0.05,0.05,1,0,10,0.1,56,0,"0%"
1,40,400,9.6,0.05,0.05,1,0,10,0,60,0,"0%"
1,50,400,9.6,0.05,0.05,1,0,10,0.1,52,0,"0%"
1,60,400,9.6,0.05,0.05,1,0,10,0,42,0,"0%"
1,70,400,9.6,0.05,0.05,1,0,10,0,28,0,"0%"
1,80,400,9.6,0.05,0.05,1,0,10,0,16,0,"0%"
1,90,400,9.6,0.05,0.05,1,0,10,0,32,0,"0%"
1,100,400,9.6,0.05,0.05,1,0,10,0,32,0,"0%"
1,10,500,9.6,0.05,0.05,1,0,10,0.9,165,0.9,"0%"
1,20,500,9.6,0.05,0.05,1,0,10,0.7,112,0.1,"0%"
1,30,500,9.6,0.05,0.05,1,0,10,0.3,71,0,"0%"
1,40,500,9.6,0.05,0.05,1,0,10,0,60,0,"0%"
1,50,500,9.6,0.05,0.05,1,0,10,0,37,0,"0%"
1,60,500,9.6,0.05,0.05,1,0,10,0,48,0,"0%"
1,70,500,9.6,0.05,0.05,1,0,10,0,55,0,"0%"
1,80,500,9.6,0.05,0.05,1,0,10,0,42,0,"0%"
1,90,500,9.6,0.05,0.05,1,0,10,0,68,0,"0%"
1,100,500,9.6,0.05,0.05,1,0,10,0,36,0,"0%"
1,10,600,9.6,0.05,0.05,1,0,10,0.8,181,0.8,"0%"
1,20,600,9.6,0.05,0.05,1,0,10,0.3,121,0.1,"0%"
1,30,600,9.6,0.05,0.05,1,0,10,0.2,71,0,"0%"
1,40,600,9.6,0.05,0.05,1,0,10,0.1,61,0,"0%"
1,50,600,9.6,0.05,0.05,1,0,10,0,72,0,"0%"
1,60,600,9.6,0.05,0.05,1,0,10,0,36,0,"0%"
1,70,600,9.6,0.05,0.05,1,0,10,0,86,0,"0%"
1,80,600,9.6,0.05,0.05,1,0,10,0,39,0,"0%"
1,90,600,9.6,0.05,0.05,1,0,10,0,34,0,"0%"
1,100,600,9.6,0.05,0.05,1,0,10,0,23,0,"0%"
1,10,700,9.6,0.05,0.05,1,0,10,0.7,202,0.7,"0%"
1,20,700,9.6,0.05,0.05,1,0,10,0.3,130,0,"0%"
1,30,700,9.6,0.05,0.05,1,0,10,0.6,97,0,"0%"
1,40,700,9.6,0.05,0.05,1,0,10,0,82,0,"0%"
1,50,700,9.6,0.05,0.05,1,0,10,0,43,0,"0%"
1,60,700,9.6,0.05,0.05,1,0,10,0,28,0,"0%"
1,70,700,9.6,0.05,0.05,1,0,10,0,64,0,"0%"
1,80,700,9.6,0.05,0.05,1,0,10,0,7,0,"0%"
1,90,700,9.6,0.05,0.05,1,0,10,0,5,0,"0%"
1,100,700,9.6,0.05,0.05,1,0,10,0,19,0,"0%"
1,10,800,9.6,0.05,0.05,1,0,10,0.9,258,0.9,"0%"
1,20,800,9.6,0.05,0.05,1,0,10,0.3,146,0,"0%"
1,30,800,9.6,0.05,0.05,1,0,10,0.1,76,0,"0%"
1,40,800,9.6,0.05,0.05,1,0,10,0,92,0,"0%"
1,50,800,9.6,0.05,0.05,1,0,10,0,55,0,"0%"
1,60,800,9.6,0.05,0.05,1,0,10,0,58,0,"0%"
1,70,800,9.6,0.05,0.05,1,0,10,0,56,0,"0%"
1,80,800,9.6,0.05,0.05,1,0,10,0,20,0,"0%"
1,90,800,9.6,0.05,0.05,1,0,10,0,41,0,"0%"
1,100,800,9.6,0.05,0.05,1,0,10,0,35,0,"0%"
1,10,900,9.6,0.05,0.05,1,0,10,0.8,244,0.8,"0%"
1,20,900,9.6,0.05,0.05,1,0,10,0.6,182,0.1,"0%"
1,30,900,9.6,0.05,0.05,1,0,10,0.1,107,0,"0%"
1,40,900,9.6,0.05,0.05,1,0,10,0,93,0,"0%"
1,50,900,9.6,0.05,0.05,1,0,10,0,16,0,"0%"
1,60,900,9.6,0.05,0.05,1,0,10,0,72,0,"0%"
1,70,900,9.6,0.05,0.05,1,0,10,0,65,0,"0%"
1,80,900,9.6,0.05,0.05,1,0,10,0,5,0,"0%"
1,90,900,9.6,0.05,0.05,1,0,10,0,31,0,"0%"
1,100,900,9.6,0.05,0.05,1,0,10,0,50,0,"0%"
1,10,1000,9.6,0.05,0.05,1,0,10,0.3,272,0.3,"0%"
1,20,1000,9.6,0.05,0.05,1,0,10,0.1,158,0,"0%"
1,30,1000,9.6,0.05,0.05,1,0,10,0.1,129,0,"0%"
1,40,1000,9.6,0.05,0.05,1,0,10,0,51,0,"0%"
1,50,1000,9.6,0.05,0.05,1,0,10,0,75,0,"0%"
1,60,1000,9.6,0.05,0.05,1,0,10,0,58,0,"0%"
1,70,1000,9.6,0.05,0.05,1,0,10,0,32,0,"0%"
1,80,1000,9.6,0.05,0.05,1,0,10,0,25,0,"0%"
1,90,1000,9.6,0.05,0.05,1,0,10,0,41,0,"0%"
1,100,1000,9.6,0.05,0.05,1,0,10,0,48,0,"0%"
