"meandeg","meanduration","nodes","act","transmission","recovery","infected","recovered","sims","proportion","peak.inf","shortprop","concurrency"
1,10,100,9.6,0.05,0.05,1,0,10,0.4,31,0.4,"40%"
1,20,100,9.6,0.05,0.05,1,0,10,0.3,44,0.2,"40%"
1,30,100,9.6,0.05,0.05,1,0,10,0.3,31,0.3,"40%"
1,40,100,9.6,0.05,0.05,1,0,10,0,13,0,"40%"
1,50,100,9.6,0.05,0.05,1,0,10,0.1,21,0.1,"40%"
1,60,100,9.6,0.05,0.05,1,0,10,0,16,0,"40%"
1,70,100,9.6,0.05,0.05,1,0,10,0,21,0.2,"40%"
1,80,100,9.6,0.05,0.05,1,0,10,0.1,29,0.1,"40%"
1,90,100,9.6,0.05,0.05,1,0,10,0,12,0,"40%"
1,100,100,9.6,0.05,0.05,1,0,10,0.1,22,0.1,"40%"
1,10,200,9.6,0.05,0.05,1,0,10,0.6,74,0.6,"40%"
1,20,200,9.6,0.05,0.05,1,0,10,0.6,41,0.1,"40%"
1,30,200,9.6,0.05,0.05,1,0,10,0.3,47,0.1,"40%"
1,40,200,9.6,0.05,0.05,1,0,10,0.2,42,0.1,"40%"
1,50,200,9.6,0.05,0.05,1,0,10,0,31,0,"40%"
1,60,200,9.6,0.05,0.05,1,0,10,0,16,0,"40%"
1,70,200,9.6,0.05,0.05,1,0,10,0,19,0,"40%"
1,80,200,9.6,0.05,0.05,1,0,10,0,19,0,"40%"
1,90,200,9.6,0.05,0.05,1,0,10,0,20,0,"40%"
1,100,200,9.6,0.05,0.05,1,0,10,0,20,0,"40%"
1,10,300,9.6,0.05,0.05,1,0,10,0.9,93,0.7,"40%"
1,20,300,9.6,0.05,0.05,1,0,10,0.5,65,0.1,"40%"
1,30,300,9.6,0.05,0.05,1,0,10,0.3,49,0,"40%"
1,40,300,9.6,0.05,0.05,1,0,10,0,42,0,"40%"
1,50,300,9.6,0.05,0.05,1,0,10,0.1,60,0,"40%"
1,60,300,9.6,0.05,0.05,1,0,10,0,34,0,"40%"
1,70,300,9.6,0.05,0.05,1,0,10,0,30,0,"40%"
1,80,300,9.6,0.05,0.05,1,0,10,0,23,0,"40%"
1,90,300,9.6,0.05,0.05,1,0,10,0,29,0,"40%"
1,100,300,9.6,0.05,0.05,1,0,10,0,33,0,"40%"
1,10,400,9.6,0.05,0.05,1,0,10,0.9,121,0.9,"40%"
1,20,400,9.6,0.05,0.05,1,0,10,0.5,80,0,"40%"
1,30,400,9.6,0.05,0.05,1,0,10,0.4,73,0,"40%"
1,40,400,9.6,0.05,0.05,1,0,10,0.1,63,0,"40%"
1,50,400,9.6,0.05,0.05,1,0,10,0,41,0,"40%"
1,60,400,9.6,0.05,0.05,1,0,10,0,48,0,"40%"
1,70,400,9.6,0.05,0.05,1,0,10,0,61,0,"40%"
1,80,400,9.6,0.05,0.05,1,0,10,0,30,0,"40%"
1,90,400,9.6,0.05,0.05,1,0,10,0,28,0,"40%"
1,100,400,9.6,0.05,0.05,1,0,10,0,36,0,"40%"
1,10,500,9.6,0.05,0.05,1,0,10,0.5,157,0.5,"40%"
1,20,500,9.6,0.05,0.05,1,0,10,0.6,105,0.2,"40%"
1,30,500,9.6,0.05,0.05,1,0,10,0.5,85,0,"40%"
1,40,500,9.6,0.05,0.05,1,0,10,0.4,87,0,"40%"
1,50,500,9.6,0.05,0.05,1,0,10,0,84,0,"40%"
1,60,500,9.6,0.05,0.05,1,0,10,0,39,0,"40%"
1,70,500,9.6,0.05,0.05,1,0,10,0,31,0,"40%"
1,80,500,9.6,0.05,0.05,1,0,10,0,26,0,"40%"
1,90,500,9.6,0.05,0.05,1,0,10,0,42,0,"40%"
1,100,500,9.6,0.05,0.05,1,0,10,0,25,0,"40%"
1,10,600,9.6,0.05,0.05,1,0,10,0.6,193,0.6,"40%"
1,20,600,9.6,0.05,0.05,1,0,10,0.5,121,0.1,"40%"
1,30,600,9.6,0.05,0.05,1,0,10,0.4,122,0.1,"40%"
1,40,600,9.6,0.05,0.05,1,0,10,0.2,80,0,"40%"
1,50,600,9.6,0.05,0.05,1,0,10,0,67,0,"40%"
1,60,600,9.6,0.05,0.05,1,0,10,0,39,0,"40%"
1,70,600,9.6,0.05,0.05,1,0,10,0,35,0,"40%"
1,80,600,9.6,0.05,0.05,1,0,10,0,45,0,"40%"
1,90,600,9.6,0.05,0.05,1,0,10,0,33,0,"40%"
1,100,600,9.6,0.05,0.05,1,0,10,0,24,0,"40%"
1,10,700,9.6,0.05,0.05,1,0,10,0.7,231,0.7,"40%"
1,20,700,9.6,0.05,0.05,1,0,10,0.8,159,0.2,"40%"
1,30,700,9.6,0.05,0.05,1,0,10,0.2,121,0,"40%"
1,40,700,9.6,0.05,0.05,1,0,10,0.1,94,0,"40%"
1,50,700,9.6,0.05,0.05,1,0,10,0.1,66,0,"40%"
1,60,700,9.6,0.05,0.05,1,0,10,0,43,0,"40%"
1,70,700,9.6,0.05,0.05,1,0,10,0,47,0,"40%"
1,80,700,9.6,0.05,0.05,1,0,10,0,33,0,"40%"
1,90,700,9.6,0.05,0.05,1,0,10,0,43,0,"40%"
1,100,700,9.6,0.05,0.05,1,0,10,0,46,0,"40%"
1,10,800,9.6,0.05,0.05,1,0,10,0.6,224,0.6,"40%"
1,20,800,9.6,0.05,0.05,1,0,10,0.4,149,0,"40%"
1,30,800,9.6,0.05,0.05,1,0,10,0.3,118,0,"40%"
1,40,800,9.6,0.05,0.05,1,0,10,0.1,132,0,"40%"
1,50,800,9.6,0.05,0.05,1,0,10,0,42,0,"40%"
1,60,800,9.6,0.05,0.05,1,0,10,0,88,0,"40%"
1,70,800,9.6,0.05,0.05,1,0,10,0,81,0,"40%"
1,80,800,9.6,0.05,0.05,1,0,10,0,57,0,"40%"
1,90,800,9.6,0.05,0.05,1,0,10,0,41,0,"40%"
1,100,800,9.6,0.05,0.05,1,0,10,0,60,0,"40%"
1,10,900,9.6,0.05,0.05,1,0,10,0.7,269,0.6,"40%"
1,20,900,9.6,0.05,0.05,1,0,10,0.6,169,0,"40%"
1,30,900,9.6,0.05,0.05,1,0,10,0.4,148,0,"40%"
1,40,900,9.6,0.05,0.05,1,0,10,0.1,109,0,"40%"
1,50,900,9.6,0.05,0.05,1,0,10,0,59,0,"40%"
1,60,900,9.6,0.05,0.05,1,0,10,0,50,0,"40%"
1,70,900,9.6,0.05,0.05,1,0,10,0,51,0,"40%"
1,80,900,9.6,0.05,0.05,1,0,10,0,56,0,"40%"
1,90,900,9.6,0.05,0.05,1,0,10,0,65,0,"40%"
